Start Time (s),Duration (s),Text
0.16,7.52,तारक मेहता का उल्टा
4.68,3.0,चश्मा
8.679,6.321,विक सॉरी सॉरी सॉरी मैं मैं लेता हूं मैं
11.599,3.401,मैं लेता हूं
16.88,3.84,आप रहने दीजिए बबिता जी मैं लेता हूं मैं
18.96,5.28,लेता हूं
20.72,6.0,सॉरी सॉरी सॉरी सॉरी बबीता जी सॉरी मैं
24.24,4.64,ध्यान ही नहीं था आपको लगा तो नहीं नहीं
26.72,4.08,नहीं नॉट एट ऑल इनफैक्ट इवन आई एम सॉरी
28.88,4.0,एक्चुअली मेरा ध्यान भी फ़ोन पे ही था
30.8,3.36,"इसलिए आई एम सो सॉरी। हां, मेरा भी ध्यान"
32.88,3.44,मोबाइल में ही था ही था। वो क्या भागा का
34.16,4.399,फोन आया ना दुकान से तो मैं उससे बात कर
36.32,4.88,रहा था। इतने में अचानक कहां से सामने आ
38.559,4.561,गए वो पता ही नहीं चला। इट्स ओके इट्स
41.2,4.64,अब्सोलुटली फाइन। आपको सच में लगा तो नहीं
43.12,5.759,ना? नहीं नहीं नॉट एट ऑल इट्स ओके। वैसे
45.84,6.32,सॉरी बबीता जी। पूछना तो नहीं चाहिए लेकिन
48.879,6.0,इतना सारा नींबू आपके घर पे आज क्या
52.16,6.16,गोकुलधाम महिला मंडल की नींबू सटा पार्टी
54.879,5.921,है? नहीं नहीं ऐसी कोई बात नहीं है।
58.32,4.559,एक्चुअली घर में नींबू खत्म हो गए थे और
60.8,4.719,आज मैंने सोचा जरा अय्यर के लिए लेमन राइस
62.879,6.24,बनाऊं इसलिए मैं नींबू लेने गई थी। वाह
65.519,7.201,वाह बबीता जी कहना पड़ेगा। आपके ये जो
69.119,8.0,नया-नया खाना बनाने की जो होश है ना गजब
72.72,7.68,गजब है। बाकी आपके जैसे फैशनेबल लेडीज लोग
77.119,6.0,तो आमतौर पे खाना बनाते ही नहीं है। उनके
80.4,5.84,घर पे या तो रसोइया होता है या तो वो आजकल
83.119,5.921,ऑनलाइन मंगाते हैं। लेकिन आप खुद इतने
86.24,5.12,फैशनेबल लेडीज होने के बावजूद खुद खाना
89.04,4.96,बनाते हैं। पर खाना भी ऐसा वैसा नहीं
91.36,6.64,अलग-अलग स्पेशल आइटम
94.0,7.68,लेमन राइस ने वो बैंगून भाजा ने वो सुकतो
98.0,8.0,ने और सच कहता हूं बबिता जी आपके हाथ की
101.68,8.479,रसोई में जो टेस्ट होता है आ हा हा टेड़ा
106.0,6.72,पड़ जाता है टेड़ा मतलब ये गुजराती शब्द है
110.159,5.441,हम लोग को क्या है जब किसी भी चीज में ऐसा
112.72,6.64,बहुत मजा आता है ना बहुत मतलब बहुत मजा
115.6,10.479,आता है ना तभी हम लोग ऐसा बोलता है कि आ
119.36,9.84,टेसड़ा पड़ ग ओके ओके ओके बबीता जी एक मिनट
126.079,6.721,थैंक यू थैंक यू किस लिए सुबह-सुबह दर्शन
129.2,7.28,देने के लिए जी आप ही ना हां आप मानेंगे
132.8,8.96,नहीं बबीता जी लेकिन मैंने कई बार अनुभव
136.48,8.56,किया है कि जब भी ऐसे सुबह दुकान जाते अगर
141.76,6.8,आपसे मुलाकात होती है ना तो वो मेरा पूरा
145.04,6.72,दिन इतना अच्छा जाता है इतना अच्छा अच्छा
148.56,8.319,जाता है कि पूछिए मत। रियली हां सच्ची
151.76,8.96,बेबी ऐसा क्यों होता होगा बबीता जी?
156.879,8.801,आई डोंट नो मुझे नहीं पता। सॉरी मैं
160.72,7.64,बताऊं? हां वो क्या है कि आप कभी भी किसी
165.68,7.919,का बुरा नहीं चाहते।
168.36,8.44,हमेशा सबका अच्छा सोचते हैं। तो जब ऐसे
173.599,6.161,अच्छे लोग से मुलाकात होती है ना तो फिर
176.8,9.04,सब अच्छा ही होता है।
179.76,9.839,मे बी थैंक यू सो मच तो मैं चलूं? बस ओके
185.84,6.56,ओके फिर से एक बार। थैंक यू। अरे जेठा जी
189.599,4.801,आप भी ना। ओके बाय। हैव अ गुड डे। ओके
192.4,5.6,बबिता जी। फिर से एक बार थैंक यू। अरे
194.4,3.6,जेठा जी आप भी ना बाय।
198.8,4.04,बाय बबिता जी
205.04,5.4,अरे एक नींबू तो रह
208.07,4.529,[संगीत]
210.44,6.56,गया
212.599,4.401,पपीता चले गए
217.519,5.921,थैंक यू नींबू आज अगर तुम बबीता जी के घर
220.879,5.041,में खत्म नहीं हुए होते तो बबीता जी नींबू
223.44,5.12,खरीदने बाहर निकलते नहीं आज आज तुम्हारी
225.92,8.2,वजह से सुबह-सुबह बबीता जी के दर्शन हो
228.56,5.56,गए। थैंक यू नींबू। थैंक यू।
234.72,5.28,ऐ
236.68,5.32,चटिया वो अभी तक दुकान नहीं है। और ये
240.0,4.159,नींबू के साथ क्या खेल रहा है? नहीं यार
242.0,4.439,किसी का नींबू बाबूजी यहां नीचे पड़ा हुआ
244.159,5.121,था तो मैं वही देख रहा था किसका नींबू गिर
246.439,4.841,गया। मैं बस अभी दुकान ही जा रहा हूं
249.28,6.039,बाबूजी। जय जिनेंद्र। दुकान दुकान जा रहा
251.28,4.039,हूं। जय जिनेंद्र।
255.36,6.03,नटू काका नींबू की माला तैयार है ना? हां
258.88,3.79,हां बिल्कुल तैयार है बागा बॉय।
261.39,2.04,[संगीत]
262.67,2.65,[प्रशंसा]
263.43,6.25,[संगीत]
265.32,8.24,अच्छा ये देखो। अरे वाह नट्टू काका। अगर
269.68,8.239,आपने नींबू की माला तैयार कर दी है तो एक
273.56,8.0,मिनट। तो ये देखिए नट्टू काका। सेठ जी के
277.919,7.681,लिए नींबू पानी भी तैयार है। वाह!
281.56,6.76,भग सेठ जी आएंगे तो हम उनका स्वागत ये
285.6,6.72,नींबू की माला और शरबत के ग्लास से
288.32,6.96,करेंगे। सेठ जी एकदम खुश हो जाएंगे। यस पर
292.32,5.36,भागा शरबत ज्यादा खट्टा तो नहीं ना? अगर
295.28,5.6,खट्टा होगा तो सेठ जी गुस्सा हो जाएंगे।
297.68,5.84,अरे नहीं नहीं नटू काका। ये शरबत मैंने
300.88,7.28,दुनिया का वर्ल्ड बेस्ट नींबू शरबत बनाया
303.52,7.36,है। वेरी गुड। बस अब जल्दी से सेठ जी आ
308.16,5.479,जाए।
310.88,6.319,काका सेठ जी इस
313.639,7.0,कमिंग अरे बाप रे जल्दीजल्दी ये माला और
317.199,3.44,ग्लास चिप दे हां नेटो
320.919,10.86,काका हो गया हां
324.17,7.609,[संगीत]
335.56,6.76,हां
337.24,7.48,जी आराम से आराम से संभल के अरे हटा सब
342.32,3.99,क्या हुआ क्या मैं गिरा कैसे लेकिन नींबू
344.72,3.36,की वजह से
346.31,5.53,[प्रशंसा]
